Road,Road_encoded
1st Street,41
Linwood Street,4542
Murray Avenue,5293
Lochinvar Avenue,4571
San Anselmo Avenue,6912
Stoddard Wells Road,7826
Paramount Boulevard,6062
Viewoak Drive,8445
West Monterey Avenue,8849
Torreon Avenue,8131
East Slauson Avenue,2708
Linda Vista Road,4530
Appian Way,407
Vanoni Road,8325
Harrow Avenue,3625
Via Vigneto,8420
West Bishop Street,8688
Cottonwood Drive,1885
Wilson Avenue,9061
Wright Avenue,9155
Acre Street,178
Beachwood Terrace,739
Parise Drive,6065
Claus Road,1693
Schaeffer Road,7081
Sargents Road,7059
Scholar Way,7083
Nightingale Court,5383
Meadowcroft Way,4954
Barranca Parkway,703
Plymouth Street,6307
Plymouth Street,6307
La Crescenta Avenue,4254
Blackthorne Avenue,895
30th Avenue,66
Beene Road,773
Nicoya Drive,5379
Singh Lane,7277
West Washington Boulevard,8953
West Indianapolis Avenue,8785
Kaiser Loop Trail,4115
Rosario Avenue,6774
East Stuart Road,2717
South Oakland Avenue,7570
Victoria Avenue,8434
1st Street,41
Chumash Trail,1638
Cortland Avenue,1868
East Walnut Street,2739
1st Street,41
Concepcion Avenue,1800
West Fairgrove Avenue,8744
Sexton Canyon Road,7149
East Hedges Avenue,2538
Pomona Freeway,6335
Dorchester Place,2236
canal maint road,9214
East Bougainvillea Lane,2423
Virginia Street,8475
Maine Avenue,4752
Madera del Presidio Drive,4730
Harrison Avenue,3621
M Street,4716
Easy Avenue,2765
Eddy Street,2771
Peladora Road,6168
North Johnson Avenue,5578
Sacramento Northern Railway,6860
East Service Road,2703
South Bedford Street,7390
Mildred Drive,5055
1st Street,41
Cooper Road,1828
Emerald Lane,2908
West Lowell Avenue,8823
Pacific Coast Highway,5999
West 106th Street,8589
San Pablo Avenue,6971
West Avenue L,8672
Road B,6696
Eddy Street,2771
Willow Place,9051
Kellogg Street,4148
South Broadway,7403
South Towner Street,7650
Cypress Avenue,2019
East Darlan Street,2480
East Manchester Avenue,2594
Mountain View Street,5266
Rose Street,6783
1st Street,41
Sabin Street,6854
Smarts Ranch Spur D,7320
82nd Avenue,138
Pinecrest Road,6245
North Belle Street,5461
West Avenue 42,8669
Bairnsdale Street,636
Mahan Court,4746
Aetna Street,200
Dauchy Avenue,2067
East Juanita Avenue,2558
Killion Street,4185
East 32nd Street,2343
Highland Court,3744
Skyridge Drive,7304
1st Street,41
Spinnaker Street,7719
1st Street,41
Cornish Drive,1841
Bandera Street,667
Molokai Way,5151
West Belmont Avenue,8683
Waverly Avenue,8565
Pacific Coast Highway,5999
6th Street,125
134th Place,15
Janal Way,4010
Hawthorne Road,3653
Hartford Way,3628
Rheem Avenue,6585
Delta Shores Circle South,2145
1st Street,41
1st Street,41
East Lincoln Avenue,2580
Maria Drive,4809
Strozier Avenue,7849
Ramona Street,6488
209th Street,44
Filbert Street,3101
East Huntington Boulevard,2550
Mesa Drive,5009
Beaujolais Way,752
Sylvan Avenue,7961
Hazeltine Avenue,3664
Newton Street,5374
Bassett Street,715
Bush Street,1164
Spreckels Lane,7723
Altadena Crest Trail,324
1st Street,41
San Simeon Way,6980
Linda Vista Way,4531
Windmill Drive,9080
Degnan Boulevard,2119
Solons Alley,7337
Claremont Avenue,1672
Kauffman Avenue,4126
San Simeon Creek Road,6976
South Vine Street,7665
Cascade Wonderland Highway,1461
Santa Monica Boulevard,7036
Navy Road,5330
Minerva Park,5088
Cedar Street,1509
1st Street,41
1st Street,41
5th Street,116
Avenue E,603
Bluff Street,935
South Grand Avenue,7479
South 20th Street,7358
Boyce Avenue,1000
Woodside Lane East,9142
Florida Street,3151
Loucks Avenue,4672
Honey Hollow Road,3828
Orcutt Road,5948
Blake Court,899
Russell Avenue,6833
Parmelee Avenue,6102
East Fir Avenue,2503
Simpson Road,7270
Andrews Drive,380
Sharon Avenue,7172
Pine Street,6241
West 14th Street,8598
Florida Street,3151
McKinney Way,4933
Dabney Drive,2028
Walker Lee Drive,8512
Tami Way,7989
Studebaker Road,7853
1st Street,41
North Cañada Street,5482
West Rose Street,8896
Via Encantadoras,8389
Rambler Way,6481
Powell Street,6373
Chapman-Calpine Road,1565
Bill Francis Drive,861
Elm Street,2893
Tennessee Street,8028
Cellini Avenue,1514
78th Avenue,131
West Point Avenue,8873
1st Street,41
West Pine Avenue,8872
West Indianapolis Avenue,8785
North Sacramento Freeway,5689
McKinney Way,4933
North Pine Street,5664
Bayside Walk,732
West 5th Street,8638
Lake Merced Bike Path,4327
Currant Court,2010
Adams Road,185
Merrill Avenue,5003
Kirkham Street,4208
East Elder Street,2492
Caminito Banyon,1321
South Vernon Avenue,7663
CA 99,1203
South Haskins Avenue,7489
Columbia College Drive,1785
34th Street,75
Valencia Street,8282
Fire lane,3115
1st Street,41
Woodvale Road,9148
Baker Avenue,637
Brennen Way,1039
25th Street,58
Port Road 2,6352
Fir Street,3111
Ocean Front Walk,5838
Sharon Drive,7173
Juniper Street,4107
Foothill Freeway,3166
West Washington Boulevard,8953
Avenue 378,590
Dairy Lane,2031
Plymouth Drive,6306
1st Street,41
San Vincente Avenue,6985
Sam-O-Reno Road,6903
West Beverly Boulevard,8686
Buena Vista,1133
Union Oil Company,8251
1st Street,41
Pearl Place South,6159
East Mountain View Avenue,2619
Gray Avenue,3472
Jim Bridger Road,4047
Mayellen Avenue,4886
Stagecoach Trail,7758
Yucca Drive,9198
Westminster Avenue,8973
1st Street,41
Blackfield Drive,889
Baker Avenue,637
Old Grand Street,5865
North Garfield Avenue,5544
Thompson Lane,8073
Van Nuys Boulevard,8318
High Street,3739
West 35th Street,8625
Katherine Avenue,4124
South Angeleno Avenue,7375
East 58th Street,2354
Bonmark Drive,970
Apple Drive,410
Hopkins Avenue,3835
Pine Avenue,6231
Ashwood Street,506
West 124th Street,8593
Stein-Hale Nature Trail,7798
Markham Avenue,4831
Camino Arroyo,1330
Shoreline Trail,7222
Exbourne Avenue,2988
Chorro Street,1627
Freeman Court,3227
Palm Drive,6023
Marbel Avenue,4794
East 14th Street,2329
East Newburgh Street,2624
Desert Trailways Lane,2166
Ronada Avenue,6761
South Racquet Club Drive,7597
Glorieta East,3395
Village Road,8453
McAllister Street,4906
Buena Vista Avenue East,1135
Fair Oaks Avenue,2995
Burnet Court,1151
Aranza Drive,423
Acorn Street,176
Arrow Lane,473
East Hartford Road,2534
1st Street,41
Keller Avenue,4142
Paso Fino Street,6127
San Zeno Way,6987
Calgary Avenue,1245
North Dunn Street,5509
Hillrose Street,3772
Pounds Avenue,6371
Nimitz Freeway,5388
Cypress Avenue,2019
Sabina Avenue,6855
1st Street,41
Butler Avenue,1168
Walker Lee Drive,8512
CA 299,1189
L Street,4244
Garden View Court,3288
Portland Avenue,6358
Alley 79751,272
Dale Street,2037
Harold Path,3614
Glendora Avenue,3380
Milton Avenue,5077
Casa Bueno Court,1456
Placer Drive,6275
Huntington Drive,3876
East Norris Road,2628
N Street,5305
Marengo Street,4799
North Tigertail Road,5723
San Diego Freeway,6929
Antelope Valley Freeway,394
West Zane Street,8963
Locust Street,4579
San Jon Barranca Road,6948
West Manchester Avenue,8832
Kiernan Drive,4183
Sunborg Court,7885
Lighthouse Avenue,4504
Hazeltine Avenue,3664
North Mountain Avenue,5631
Winchester Boulevard,9066
1st Street,41
East Main Street,2593
Mountain Boulevard,5255
Arcane Street,435
La Jolla Mesa Drive,4263
Rosanna Street,6773
Caleigh Lane,1239
East Hermosa Drive,2542
Moorpark Street,5194
Sherland Avenue,7203
Pacific Drive,6002
West Side Freeway,8915
Haley Street,3565
Concord Court,1802
1st Street,41
South Sunkist Street,7640
North Sweetzer Avenue,5717
East Sierra Avenue,2707
East 48th Place,2350
Murray Street,5296
South Normandie Avenue,7567
Virginia Avenue,8471
West Hedding Street,8778
South Buchanan Circle,7406
25th Street,58
I Street,3902
Jeffries Avenue,4032
CA 242,1186
Dexter Drive,2176
Central Avenue,1527
Cherry Street,1597
South Fairfax Avenue,7458
Derby Street,2153
Daily Drive,2030
Contra Costa Drive,1820
Brush Canyon Trail,1105
Amboy Avenue,347
Beach Boulevard,736
North Court Street,5495
Gary Avenue,3300
South Vermont Avenue,7662
Thrasher Avenue,8081
El Camino Avenue,2815
Madrone Street,4737
San Fernando Road,6935
Janna Avenue,4012
Hook Road,3830
Madison Street,4732
Giovanetti Road,3351
Filbert Street,3101
White Oak Avenue,9000
10th Street,7
Lyons Avenue,4714
Grove Shafter Freeway,3531
Louisiana Street,4676
Orion Avenue,5955
Easy Avenue,2765
Kate Hayes Street,4121
Constitution Avenue,1814
North Holt Avenue,5571
Comet Circle,1792
South Burnside Avenue,7409
Calle la Primavera,1303
Glendale Drive,3377
Norwich Avenue,5763
Seven Hills Road,7145
Hayland Street,3656
West Olympic Boulevard,8860
Baldwin Street,658
East Alder Street,2375
Lyndsey Lane,4706
Degnan Boulevard,2119
South Wilson Way,7682
Vineland Avenue,8464
Deanann Place,2093
Ardilla Avenue,440
Francisquito Avenue,3213
Main Street,4751
East Belmont Avenue,2414
Edgar Avenue,2775
1st Street,41
Cole Street,1758
Murray Street,5296
Sierra Wood Drive,7251
Terrylynn Circle,8044
Murray Drive,5294
Via Camino Avenue,8380
12th Street,14
Sherwood Boulevard,7210
El Capitan Drive,2819
Valle Avenue,8289
Yarrow Way,9173
The Strand South,8057
Midland Street,5042
Rosita Road,6793
Crestview Drive,1975
North Reed Avenue,5673
East Byrd Avenue,2435
D Street,2025
Manresa Lane,4777
East Oaks Street,2633
Blue Gum Avenue,914
North 8th Street,5434
South Plymouth Boulevard,7589
Pepper Drive,6188
Finley Road,3110
Valaria Drive,8277
South Stockton Street,7636
Douglas Street,2252
East Orange Creek Lane,2643
Lenore Drive,4470
1st Street,41
Mc Clelland Street,4897
Avenida del Padre,561
6th Street,125
Laidley Street,4320
West Avenue 136,8665
Treasure Trail,8171
Norco Horse Trail,5408
Farragut Circle,3052
Alley ‎80988,293
North Safford Avenue,5691
R Street,6455
Highlands Boulevard,3749
Keswick Street,4177
South B Street,7381
Spencer Avenue,7714
Rose Avenue,6778
12th Street,14
Warner Street,8534
Coyote Creek Trail,1934
Bidwell Street,848
Las Palmas Drive,4396
14th Avenue,21
Mitchell Road,5136
Alley 87628,280
Lone Oak Drive,4610
Pioneer Drive,6262
Thornton Avenue,8078
South Westlake Boulevard,7675
Daniel Lane,2045
Tanglewood Way,7994
North State College Boulevard,5710
Waterloo Road,8555
Cole Street,1758
Orange Blossom Drive,5930
Eye Street,2993
Riviera Avenue,6665
West 7th Street,8646
East 6th Street,2360
Hanna Avenue,3585
Peoria Street,6186
Jurupa Avenue,4111
Fontana Avenue,3159
West 64th Place,8639
West Pine Avenue,8872
Bridge Road,1049
Slate Creek Road,7310
Del Monte Road,2127
Ainsworth Street,208
Far View Road,3038
Lincoln Avenue,4519
West El Camino Street,8738
Trudi Drive,8192
23rd Street,53
East Cooley Drive,2472
Morrison Street,5218
Estrella Avenue,2964
Lewis Avenue,4486
11th Avenue,9
Palms Boulevard,6027
Annik Drive,392
Fulton Trail,3258
Shadyoak Drive,7163
Lucada Street,4686
John Street,4065
Quincy Avenue,6453
Rutherford Way,6841
Crystal Falls Drive,1996
1st Street,41
Cambria,1313
Avenue 192,574
East Lyell Avenue,2589
Liberty Boulevard,4494
Quakertown Avenue,6439
Quill Drive,6451
Oriole Court,5953
Palos Verdes Drive,6039
Paso Verde Drive,6129
Road 53,6692
Helen Street,3688
Ladera Street,4302
1st Street,41
Road 23,6685
East Rumble Road,2695
Haines Street,3561
Hope Street,3834
Saigon Avenue,6872
Grand Avenue,3451
Gharkey Street,3338
Davis Road,2075
Foothill Expressway,3165
Traverse Street,8167
Stadium Way,7754
Gardner Avenue,3291
Rockie Lane,6729
Harbor Transitway,3598
Castro Valley Freeway,1486
Academy Road,168
Shakespeare Drive,7167
South Hacienda Boulevard,7483
Huntington Beach Trail,3875
McCully Avenue,4921
Americorps Trail,354
Stevens Circle,7811
1st Street,41
Seaborn Street,7105
Creelman Lane,1957
Fairmount Avenue,3011
Friars Road,3240
Anton Boulevard,397
East South Street,2711
Kirkham Street,4208
West Manchester Boulevard,8833
Federal Avenue,3071
Channel Drive,1554
3rd Avenue,83
Cherry Avenue,1592
Slender Oak Court,7315
Salem Street,6892
1st Street,41
Elm Avenue,2892
Leeds Road,4451
West Lodi Avenue,8818
Florence Avenue,3147
Orange Freeway,5932
West Aster Street,8660
South Henderson Road,7493
San Diego Freeway,6929
Harwood Street,3638
1st Street,41
San Diego Freeway,6929
1st Street,41
East Alvin Avenue,2380
Crest Drive,1968
1st Street,41
Harbor Boulevard,3595
West La Vida Lane,8801
Florence Avenue,3147
Van Buren Circle,8312
Appollo Way,415
South Coast Drive,7429
Julian Road,4099
West Yale Avenue,8961
Midvale Avenue,5044
Jornada Lane,4081
Smile Place,7321
Harris Street,3620
1st Street,41
East Lerdo Highway,2578
Wasatch Avenue,8541
Dunbarton Avenue,2286
West 3rd Avenue,8628
West 37th Place,8626
Dusk Drive,2303
Buckeye Lane,1121
Branch Street,1023
South Grand Avenue,7479
East Victoria Street,2737
Lake Merced Bike Path,4327
Falcon View Road,3027
Dresser Ranch Place,2266
Appleton Drive,414
Mule Ridge Road,5282
Byron Avenue,1174
Golf Club Road,3422
Pala Avenue,6012
Crescent Avenue,1960
Hereford Drive,3700
Blue Rock Springs Cycleway,924
Hood Drive,3829
Valle Vista Drive,8291
South Harbor Boulevard,7486
Sierra Street,7248
South Bender Avenue,7392
Gary Way,3302
Santa Fe Avenue,7019
Woodranch Road,9136
1st Street,41
West Pine Avenue,8872
Heliotrope Avenue,3689
Winston Avenue,9092
Niantic Avenue,5376
East Ruddock Street,2693
Drum Canyon Road,2271
Fairweather Crossing,3021
Surrey Avenue,7927
Walnut Avenue,8516
Vickie Court,8432
Two Mile Road,8236
Algiers Avenue,254
1st Street,41
Louella Drive,4673
Reo Place,6576
Market Street,4830
Channel Drive,1554
Dolan Avenue,2214
East Hobart Street,2546
West 28th Street,8621
Downing Avenue,2261
Consejos,1813
Heron Circle,3707
Van Fossen Road,8316
Blufftop Trail,936
Ronada Avenue,6761
Caulfield Avenue,1494
Berkeley Way,812
Racquet Club Circle,6458
Beechwood Avenue,770
Polk Street,6324
1st Street,41
Meyer Road,5025
Menlo Avenue,4989
Savannah Drive,7064
Spring Street,7729
Colgate Avenue,1761
White Crane Road,8997
Norwood Avenue,5765
East 4th Street,2352
East Oaks Street,2633
1st Street,41
Monterey Road,5178
South Muirfield Road,7564
Skyline Boulevard,7301
Ming Avenue,5089
MacArthur Boulevard,4721
Hillary Drive,3762
1st Street,41
West 66th Street,8643
Almanor Recreation Trail,302
West 17th Street,8605
Terra Bella Street,8035
West 166th Street,8602
Malcolm Avenue,4757
Beach Boulevard,736
North Herbert Street,5568
Glencrest Place,3374
55th Avenue,107
Inglewood Boulevard,3942
Sacramento Avenue,6858
Bellaire Avenue,786
Augustine Road,536
East Main Street,2593
Lassen Street,4403
Dusty Road,2304
Melville Drive,4980
San Gabriel River Trail,6945
Carrie Lee Way,1440
Cabrillo Highway,1217
Laguna Avenue,4311
Marsh Creek Road,4841
San Diego Creek Trail,6928
Power Ridge Road,6376
Grevillia Drive,3518
Hawthorn Avenue,3651
Peck Road,6163
Norvell Street,5760
1st Street,41
Farquhar Avenue,3051
Santa Ana River Trail,7006
Thorn Street,8075
Nolte Alley,5405
West 124th Street,8593
Yourman Road,9194
Clay Street,1697
West 95th Street,8650
Cross-Alameda Trail,1991
42nd Avenue,90
East Hillcrest Boulevard,2544
Fenham Street,3081
Pendegast Street,6177
Montalvo Way,5157
Lincoln Street,4523
Fuller Drive,3253
1st Street,41
Ohlone Drive,5852
Daphne Avenue,2051
Camarillo Trail,1312
Flower Street,3154
1st Street,41
South Manhattan Place,7543
Florida Street,3151
Meadowbrook Avenue,4951
Fulbright Avenue,3252
North Sacramento Street,5690
Rogue Street,6747
South Gaylord Drive,7475
Wildcat Road,9028
Warnerville Road,8535
East Atchison Avenue,2389
Wilshire Boulevard,9059
Gilman Drive,3346
South Victoria Avenue,7664
Pala Circle,6013
Mountain Avenue,5254
1st Street,41
Foster Road,3195
Barge Canal Access,686
South Doheny Drive,7445
Essex Lane,2956
Ascot Avenue,494
Bridge Road,1049
Milton Avenue,5077
Pelham Avenue,6170
Charlestown Drive,1576
Brookdale Avenue,1080
Beechwood Avenue,770
Alder Avenue,238
1st Street,41
Corral Way,1854
North Valley Drive,5728
North la Esperanza,5750
Lockford Street,4575
Willamette Avenue,9035
South Stockton Street,7636
East Panama Road,2654
Pleasanton Avenue,6293
1st Street,41
Brown Street,1091
Easy Avenue,2765
West 37th Place,8626
Foster Road,3195
Merlin Drive,5001
1st Street,41
Pine Street,6241
Huntley Drive,3880
Whittier Avenue,9014
West 65th Place,8641
Alley 84438,278
23rd Avenue,52
Donald Court,2228
Blackthorne Avenue,895
Cloverly Avenue,1727
Sundance Avenue,7888
2nd Street,65
Casa Vista Drive,1458
Via Burrone,8379
Fresno Street,3237
Airport Boulevard,212
West Imperial Highway,8784
Eliza Court,2874
1st Street,41
1st Street,41
Alvarado Street,330
Railroad Avenue,6464
Tepoca Road,8031
Skyline Boulevard,7301
South Mission Drive,7553
Oakcrest Court,5806
Duarte Street,2277
Arroyo Pescadero Loop Trail,480
Georgia Street,3332
Green River Road,3488
Nevada Avenue,5352
South Garden Street,7473
Barling Street,693
West Willow Street,8958
Bear Creek Road,746
North Martel Avenue,5614
Alley 85949,279
West Seaside Boulevard,8907
San Miguel Avenue,6967
Cliff Drive,1714
El Tae Singletrack,2855
Piper Lane,6266
Central Avenue,1527
Via Picaposte,8406
Willowwick Way,9055
Torrell Way,8130
West Drive,8735
Campus Drive,1362
Tonino Drive,8120
South Curson Avenue,7438
North Valley Drive,5728
Sunset Place East,7920
Folsom Boulevard,3156
Sunset Boulevard,7913
East Palmdale Boulevard,2653
Kiwi Lane,4216
Periwinkle Drive,6196
Gross Avenue,3528
Alley ‎90714,295
Huston Street,3888
Ferndale Drive,3086
East Gettysburg Avenue,2519
East 48th Street,2351
Cartlen Drive,1453
1st Street,41
Joe Hooke Lane,4054
B Street,621
Ramona Avenue,6483
East Maple Avenue,2595
Penn Street,6180
Mildred Drive,5055
King Drive,4190
North Delno Avenue,5504
South Main Street,7540
Centella Place,1515
East Hermosa Drive,2542
Claribel Road,1681
Beverly Glen Boulevard,837
Bryce Canyon Park Drive,1112
Jeri Place,4040
Calypso Drive,1308
Cowles Mountain Boulevard,1927
Highland Avenue,3743
Beaver Lake Drive,753
East Cornell Drive,2474
East 2nd Avenue,2342
County Line Avenue,1898
Orion Avenue,5955
Howard Road,3851
Brucker Road,1101
Bonnie Place,972
East Huntington Boulevard,2550
El Camino Avenue,2815
Hillary Drive,3762
Friars Road,3240
Claudia Court,1691
Woodard Road,9114
Monterey Bay Coastal Trail,5174
West Manchester Avenue,8832
Corte Soledad,1864
Richardson Street,6599
Shorb Street,7217
Ilex Avenue,3913
Osage Street,5968
Loma Vista Avenue,4598
12th Street,14
Richardson Drive,6598
Briones to Mt. Diablo Regional Trail,1058
North First Street,5528
Hamilton Field Path,3577
31st Avenue,69
Kiwi Lane,4216
South Grand Avenue,7479
Riverside Drive,6662
1st Street,41
Plum Street,6298
Bigby Street,859
Candlestick Lane,1375
Alley s/o Chandler Boulevard,289
Periwinkle Drive,6196
West San Bernardino Road,8901
East Lomita Boulevard,2584
Dunstone Drive,2294
Newcastle Avenue,5365
Eastshore Freeway,2762
Mariposa Avenue,4822
1st Street,41
Long Beach Freeway,4615
Shellyfield Road,7195
Bradford Street,1013
West Imperial Highway,8784
Hudson Bay,3860
Cleveland Avenue,1711
Maple Avenue,4789
General Jim Moore Boulevard,3320
Mount Lassen Drive,5244
CA 65,1195
Thompson Avenue,8071
North 3rd Street,5430
Harbor Boulevard,3595
Roosevelt Avenue,6766
Granada Avenue,3447
Ladera Sarina,4301
Highland Avenue,3743
John J. Montgomery Freeway,4063
Divisadero Street,2195
Hidden Valley Road,3730
Ridgegate Row,6616
5th Street,116
Delaware Drive,2139
Nolte Alley,5405
Stock Exchange Square,7820
Greenwich Street,3510
Aberdeen Avenue,155
Paseo del Rio,6125
Pock Lane,6309
Lakeshore Drive,4340
Big Cut Road,853
Cloverdale Avenue,1725
Nimitz Freeway,5388
Johnson Street,4069
Vine Street,8462
East Roosevelt Court,2690
I Avenue,3901
Riverside Drive,6662
West 58th Street,8637
Haywood Street Clay Street Alley,3659
Valkyrie Way,8287
South Cinda Street,7424
North Mariposa Avenue,5611
Claremont Drive,1673
Bianca Drive,844
Southwest Expressway,7701
East Manchester Avenue,2594
Richmond Parkway,6601
40th Street,86
Los Angeles River Bikeway,4646
Pruneridge Avenue,6418
Echo Street,2770
Olney Street,5910
Chicago Avenue,1611
Foster Road,3195
Armourdale Avenue,459
Walnut Avenue,8516
Teagarden Street,8008
Tiburon Boulevard,8091
South Land Park Drive,7519
Virginia Street,8475
35th Avenue,77
Jeffrey Road,4031
Sweetbriar Place,7945
La Madera Avenue,4267
South Normandie Avenue,7567
Mohawk Street,5147
East Beverly Boulevard,2419
40th Avenue,85
Hazeltine Avenue,3664
West Harlan Avenue,8772
Old Cliffs Road,5861
North Golden State Boulevard,5552
East Bishop Street,2421
5th Avenue,114
El Camino Avenue,2815
Grange Avenue,3455
Sunland Boulevard,7892
South Anteros Avenue,7376
East Capitol Expressway,2444
Newbird Drive,5364
Requa Road,6577
Power Line Road,6375
West Lodi Avenue,8818
Long Beach Freeway,4615
1st Street,41
East Coral Avenue,2473
Hagiwara Tea Garden Drive,3556
Pumpkin Drive,6427
Calle Alvarado,1263
Fulton Street,3257
West Belleview Street,8681
North Taper Avenue,5719
Bedford Road,763
Santee Place,7052
Mason Road,4868
Palma Vista Street,6025
CA 99,1203
South Manhattan Place,7543
West 41st Street,8631
Laguna Avenue,4311
Quimby Road,6452
Throne Street,8084
Ragatz Lane,6463
Sussex Circle,7931
Hood Drive,3829
Pennsylvania Avenue,6182
West 65th Place,8641
Montauban Avenue,5159
East Hazel Avenue,2537
Antelope Lane,393
Levee Path,4483
Buena Vista Drive,1137
Berry Street,823
Gilbert Gonzalez Junior Drive,3344
10th Street,7
South Citrus Avenue,7425
Bayside Walk,732
Ocean Park Place South,5839
Oak Knoll Road,5794
South Beverly Glen Boulevard,7397
Plainview Circle,6277
Atlanta Circle,522
Wabash Avenue,8500
Nilda Avenue,5386
US 395 West Frontage Road,8244
Trabuco Road,8150
Valencia Avenue,8279
Kelsey Street,4152
Charlemagne Avenue,1570
Skyline Road,7303
Town Centre,8140
Dollar Mountain Drive,2217
Sterling Road,7805
Saddlewood Street,6865
East Rumble Road,2695
East Alfred Avenue,2376
Larchmont Drive,4374
West 17th Street,8605
East March Lane,2596
Geary Boulevard,3314
Parkview Lane,6099
McKinney Way,4933
South Sherbourne Drive,7619
Laurel Drive,4417
Freeman Avenue,3226
Flower Street,3154
Via San Jose,8409
Continental Boulevard,1817
Airdrome Street,209
East 76th Place,2362
Pacific Crest Trail,6001
Haynes Street,3657
Boeing Avenue,948
Edgehill Lane,2780
Acacia Walk,166
California Court,1253
CA 99,1203
Cabrillo Mesa Drive,1218
Del Mar Avenue,2122
South Vancouver Avenue,7661
64th Street,119
Angie Avenue,383
San Diego Freeway,6929
Elm Street,2893
Lucile Avenue,4689
Duray Place,2297
Sequan Truck Trail,7128
West Roses Road,8898
Tipperary Lane,8104
East 38th Street,2345
Sanbury Circle,6988
48th Street,97
Sunnydale Avenue,7898
Florence Drive,3148
Briones to Mt. Diablo Trail,1059
Whipple Road,8994
Mesita Way,5017
Lupine Hills Drive,4698
"Richard ""Fresh Air"" Janson Bridge",6595
K Street,4113
Nanak Road,5306
Vista del Cerro,8488
Calle Emilia,1272
Opal Street,5924
Windimer Drive,9076
La Crescenta Avenue,4254
West 6th Street,8644
Emrys Avenue,2924
Menlo Avenue,4989
Prairie Flower Road,6388
West Monterey Avenue,8849
Cobal Canyon Trail,1738
Tamalpais Avenue,7982
Congressman Steve Horn Way,1809
South Barranca Avenue,7384
West Harlan Avenue,8772
Magnolia Avenue,4742
4th Street,102
West Upland Avenue,8940
Verdura Avenue,8352
Sharon Road,7174
West Lane,8804
West 5th Street,8638
El Nido,2839
East Harbor Drive,2531
Lyon Avenue,4713
Montezuma Road,5183
1st Street,41
Campanile Mall,1355
East Bales Street,2403
Birchdale Avenue,870
Neva Avenue,5351
17 Mile Drive,33
Ventura Freeway,8341
Pirinda Road,6267
South Vail Avenue,7657
Lemona Avenue,4466
Pomegranate Avenue,6331
Oak Grove Avenue,5788
Flora Vista Street,3144
Idyllwild Drive,3910
San Lorenzo Drive,6959
West Avenue H 9,8670
Falcon Street,3025
Trailview Road,8161
Terra Granada Drive,8037
Kirkham Street,4208
East Pine Avenue,2660
Hawley Boulevard,3649
East Ojai Avenue,2637
18th Street,38
Hillgrade Court,3770
El Camino Real,2816
Vernice Court,8360
3rd Avenue,83
Garland Drive,3296
McLean,4937
West 29th Street,8622
bushwack trail,9213
1st Street,41
Woodspring,9145
Vintage Road,8470
Wildwood Drive,9033
East Tulare Avenue,2728
Silliman Street,7257
East John Matich Drive,2557
Old Guadalupe Trail,5866
McAllister Street,4906
Almenar Drive,303
West Middle Road,8846
35th Street,78
42nd Street Mission Way Alley,91
Edmondson Alley,2797
Sage Tree Street,6870
North G Street,5541
Garden Square,3286
1st Street,41
Solons Alley,7337
1st Street,41
Bear Avenue,745
Lockford Street,4575
Los Ranchitos Road,4659
East Yale Avenue,2749
John Street,4065
Camino Real,1344
Ocean Avenue,5834
Newmark Avenue,5370
Amador Street,334
Lassen Street,4403
West Camile Street,8698
Southside Bikeway,7696
5th Street,116
West Huntington Drive,8783
San Fernando Road Bike Path,6936
Glendon Avenue,3379
West State Street,8922
West Broadway,8692
West California Avenue,8696
Rose Avenue,6778
North Sacramento Street,5690
Virginia Avenue,8471
Art Gonzales Parkway,483
West Yorkshire Drive,8962
Quill Drive,6451
Forrestal Drive,3188
1st Street,41
West 8th Street,8649
South Barcelona Street,7383
San Bernardino Freeway,6918
1st Street,41
Friars Road,3240
Folsom Road,3157
West Orange Street,8862
Erbes Road,2937
South Yale Street,7685
Palm Avenue,6020
Haystack Road,3658
Skyway Road,7308
Sydney Drive,7958
West Carson Street,8706
Surfline Way,7926
Biola Avenue,863
West 65th Place,8641
Canyon Hills Road,1389
Pinyon Avenue,6259
Tweedy Lane,8232
Buckingham Road,1126
The Alameda,8050
Bernal Road,817
El Verano Way,2858
Hillside Avenue,3774
Ballena Boulevard,660
Via Las Cumbres,8394
Hellman Avenue,3690
Harris Avenue,3617
Huston Street,3888
Milford Drive,5057
Edinger Avenue,2792
Humboldt Drive,3866
Bruce Avenue,1097
Babbitt Avenue,622
Murray Street,5296
Monterey Lane,5177
West Olympic Boulevard,8860
Wembley Circle,8584
Middle Road,5039
East Los Angeles Avenue,2586
Ikea Court,3912
Holloway Road,3806
1st Street,41
Fairmount Street,3012
Shaw Avenue,7178
East 3rd Street,2347
Pacific Coast Highway,5999
Jacksonville Road,3993
Putnam Street,6432
West Mall Avenue,8831
South Normandie Avenue,7567
Ben Lomond Place,796
Carnegie Drive,1426
Madrone Street,4737
Warner Street,8534
1st Street,41
North Saint Louis Street,5692
Carver Street,1454
Ocean View Boulevard,5842
West Casad Avenue,8708
Foothill Freeway,3166
Canal Road,1372
1st Street,41
Harrison Street,3624
"Street ""C""",7847
Bayshore Freeway,730
Ohlone Greenway,5853
Camino Solano,1348
1st Street,41
Colin Street,1763
Lassen Street,4403
East Oaks Street,2633
Albert Place,230
90th Street West,146
South Centre City Parkway,7422
Gault Street,3309
West 48th Street,8634
Rico Street,6604
11th Avenue,9
Terra Lane,8038
New Jersey Avenue,5358
North Murry Street,5633
